year,event_id,date,start,duration,track,title,type,video_url,slides_url,audio_url,speakers_name
2007,12,,,,openingclosingtalks,Welcome,,,,,Nial Keiona
2007,41,,,,openingclosingtalks,Status of Software Patents in Europe,,,,,Carlito Efrain
2007,21,,,,openingclosingtalks,Keynote: OLPC,,,,,Dusty Gene
2007,30,,,,openingclosingtalks,Keynote: Liberating Java,,,,,Christeen Tysheena
2007,31,,,,kernel,ReactOS,,,,,Ambrea Pheng
2007,40,,,,desktopapplications,X.org,,,,,Qui Gerald
2007,51,,,,Lightning Talks,Bashar Darenda: Freedom Task Force,,,,,Bashar Darenda
2007,51,,,,Lightning Talks,Kalem Domique: CMake,,,,,Kalem Domique
2007,51,,,,Lightning Talks,Brendaliz Sherry: Pandora Free Monitoring System,,,,,Brendaliz Sherry
2007,103,,,,kde,Semantic KDE,,,,,Jamianne Nastassia
2007,174,,,,Mozilla,Opening,,,,,Johnnylee Deeann
2007,135,,,,gnome,Welcome,,,,,Lucius Marielena
2007,137,,,,opensuse,The openSUSE project,,,,,Raychelle Kendria
2007,121,,,,gnome,Gnome BuildBrigade,,,,,Josefa Dandra
2007,138,,,,opensuse,Looking ahead to openSUSE 10.3,,,,,Son Carola
2007,175,,,,Mozilla,Mozilla Corporation update,,,,,Janice Britain
2007,32,,,,kernel,LinuxBIOS,,,,,Justis Kym
2007,26,,,,desktopapplications,AIGLX,,,,,Antionette Shantrice
2007,55,,,,Lightning Talks,Icy Valorie: Instlux,,,,,Icy Valorie
2007,55,,,,Lightning Talks,Demetri Amalie: OpenWengo,,,,,Demetri Amalie
2007,55,,,,Lightning Talks,Jacoby Lura: LiVES,,,,,Jacoby Lura
2007,104,,,,kde,Strigi desktop integration,,,,,Essence Kalil
2007,122,,,,gnome,What's new in GStreamer,,,,,Coulter Jarold
2007,139,,,,opensuse,openSUSE Build Service Overview,,,,,Ilaisaane Keondra
2007,176,,,,Mozilla,European Mozilla Communities,,,,,Mathan Rogerick
2007,140,,,,opensuse,Packaging made easy,,,,,Kamila Cinda
2007,37,,,,kernel,Linux Kernel,,,,,Etoya Grandon
2007,23,,,,desktopapplications,GEGL,,,,,Tien Laquincy
2007,58,,,,Lightning Talks,Tylicia Morgin: Parted,,,,,Tylicia Morgin
2007,58,,,,Lightning Talks,Moira Shepard: Nagios Plugins,,,,,Moira Shepard
2007,58,,,,Lightning Talks,Shaneil Tamicka: Wt,,,,,Shaneil Tamicka
2007,123,,,,gnome,tinymail,,,,,Lon Dustan
2007,177,,,,Mozilla,SeaMonkey - Reviving the Suite,,,,,Kennita Isolina
2007,141,,,,opensuse,The build service backend,,,,,Tiffine Dantavius
